Country Name,DebtService2019,DebtService2020,DebtService2021,DebtService2022,DebtService2023
Low & middle income,384000000000.0,399000000000.0,407000000000.0,414000000000.0,433000000000.0
Middle income,379000000000.0,394000000000.0,400000000000.0,408000000000.0,423000000000.0
Upper middle income,278000000000.0,287000000000.0,291000000000.0,299000000000.0,275000000000.0
Latin America & Caribbean (excluding high income),140000000000.0,109000000000.0,115000000000.0,90789314902.0,115000000000.0
Lower middle income,101000000000.0,107000000000.0,110000000000.0,109000000000.0,149000000000.0
Europe & Central Asia (excluding high income),81303189000.0,103000000000.0,77352315964.0,86153383275.0,73814824467.0
East Asia & Pacific (excluding high income),66443165639.0,83413073918.0,106000000000.0,124000000000.0,99653927568.0
Mexico,42292182220.0,41963401343.0,52018279654.0,24523329302.0,31649273770.0
IDA total,42057916650.0,39276931847.0,45499467332.0,48206468662.0,69980628082.0
Brazil,41889995961.0,30933515593.0,28907017577.0,30966148420.0,19798958575.0
Russian Federation,40281081365.0,60444822601.0,34088221691.0,45414427753.0,23126121195.0
Sub-Saharan Africa (excluding high income),39435685204.0,38537569605.0,44061124743.0,45160944052.0,53985132742.0
South Asia,33169631310.0,40963000088.0,34015872208.0,37815785641.0,56566049116.0
China,29302392972.0,33817862121.0,50360325023.0,72863228833.0,57007702776.0
Argentina,28179537886.0,10684151070.0,5762350017.0,7998025601.0,32521532705.0
IDA only,24877003047.0,23345814256.0,27788984473.0,24053325559.0,42578838320.0
Least developed countries: UN classification,23435919075.0,19381669750.0,26113134851.0,24715582538.0,38184954431.0
Middle East & North Africa (excluding high income),23160430984.0,23901735954.0,31093555453.0,30574894924.0,34034437112.0
Indonesia,21254297066.0,28035080215.0,37912829080.0,35641394122.0,23498988563.0
Turkiye,18476005068.0,18219488850.0,22050536751.0,21396204998.0,24234931046.0
India,16503402900.0,26000741056.0,16209315282.0,17592761992.0,29293620610.0
Angola,10026094201.0,6965388390.0,8886815844.0,8690402678.0,12100255401.0
Pakistan,9049387736.0,7995933418.0,9730134509.0,13765252553.0,13361361997.0
Colombia,8475122146.0,7075427240.0,13349626538.0,8798353788.0,10728458468.0
"Egypt, Arab Rep.",8110274763.0,11444597049.0,16677076822.0,14657588033.0,15266609330.0
South Africa,7673585461.0,11114482404.0,11331894506.0,13296635748.0,7087941027.0
Philippines,6525794573.0,5652127912.0,7755932711.0,5507618962.0,5135593149.0
Ecuador,6301806524.0,4984999968.0,3109260637.0,3135826261.0,3669903508.0
Low income,5369143738.0,5148061526.0,7208123877.0,6044257944.0,9710772335.0
Lebanon,5058854551.0,353134696.8,249458387.2,143306905.2,3825311907.0
Sri Lanka,4965997686.0,4353655797.0,4144767745.0,2015044735.0,7718103971.0
Ukraine,4774164477.0,6879528570.0,5065979352.0,2398958177.0,5594139951.0
Viet Nam,4444651828.0,5111763295.0,4508119718.0,4401252519.0,5741596088.0
Kenya,3980770216.0,2460375120.0,2081427500.0,2960838460.0,3606516889.0
Belarus,3578202616.0,3603923728.0,2790989578.0,3563427746.0,4672226475.0
Serbia,3260265012.0,2697528212.0,2117430115.0,1514682872.0,1590036916.0
Morocco,3060648839.0,4294034828.0,4516789152.0,4662564943.0,3973811040.0
Kazakhstan,2523741381.0,2087084188.0,1380926223.0,2954329267.0,2547660562.0
Tunisia,2504282483.0,2396857754.0,3464882755.0,2821821782.0,3162829589.0
Cote d'Ivoire,2463260794.0,1897276846.0,1287364577.0,1645188992.0,2983014780.0
Peru,2334533114.0,1209305273.0,1504883050.0,2264923920.0,2615770991.0
Ghana,2222030542.0,2448851718.0,2946517092.0,1944251860.0,2997903307.0
Turkmenistan,2147374641.0,2078660287.0,1627225699.0,1103740913.0,1153941966.0
Jordan,2134396074.0,2298847262.0,2625841235.0,3612955977.0,2332178562.0
Ethiopia,2101548520.0,1970070783.0,2012832733.0,1993220497.0,3040489340.0
Thailand,2054647465.0,6848496536.0,1544123517.0,1605226158.0,2765913241.0
Dominican Republic,1974218436.0,4204345105.0,2216651649.0,3161708844.0,2765659193.0
Jamaica,1961942771.0,1073526109.0,1042692616.0,1084233180.0,903740175.8
Iraq,1919533902.0,2775677039.0,3202693551.0,4352541795.0,4388279711.0
Bangladesh,1906617305.0,2014023225.0,2778837175.0,3401739185.0,4942093496.0
El Salvador,1862511969.0,1045327857.0,1108912729.0,1818643454.0,1782596851.0
Costa Rica,1747385978.0,1621812511.0,1490686284.0,1157722015.0,2433368636.0
Azerbaijan,1535076059.0,1361937926.0,1810243910.0,1416854941.0,1677050093.0
Nigeria,1391022932.0,1565836452.0,2645681990.0,2916454252.0,4066551998.0
Tanzania,1138948828.0,1199265473.0,1539219496.0,1545180285.0,1724166861.0
Zambia,1081302570.0,730229012.6,400375222.5,435337338.6,2037245641.0
"Congo, Dem. Rep.",968112192.9,220559925.1,310886259.4,644345957.9,819055840.2
Guatemala,802503267.1,1060441938.0,888809951.5,1595396192.0,923172957.7
Senegal,795304148.1,807336395.6,1445303711.0,1015851103.0,1453453339.0
Bolivia,783011401.1,821098169.1,801192771.4,1809359633.0,1356344819.0
Lao PDR,771327304.5,639787898.1,664852368.8,421332538.8,1615810191.0
Armenia,756192156.0,480352186.8,390644812.2,418009843.9,542760880.9
Uzbekistan,685896847.2,823368747.6,1090049956.0,1254234621.0,2361392921.0
Gabon,675131040.0,1405486837.0,1119012904.0,491539725.8,690822303.6
Cameroon,666290532.4,951862860.9,798713694.5,1655400604.0,1806847965.0
Myanmar,630538817.9,511727372.3,786978303.3,899930711.7,1107313847.0
Mozambique,618246048.9,631111106.4,552982587.2,668653566.6,829028590.2
Honduras,581089851.3,1123997906.0,546094836.5,697839777.8,724481049.0
Montenegro,547768070.7,625220267.1,694765349.7,401963791.3,321057778.4
Paraguay,536953499.3,576333956.7,917640764.7,1003237015.0,1397742243.0
Bulgaria,532300704.0,545672456.2,574142033.9,1936820544.0,1894454585.0
Georgia,508573800.3,933779207.0,1179427465.0,495582402.2,583711087.9
"Congo, Rep.",497650051.4,635772633.5,385867353.1,826247212.8,961782481.5
Benin,492339221.1,210515685.9,728615887.0,455611487.8,672315348.6
Mongolia,479728395.8,1136393847.0,1288703112.0,1395012097.0,1294902753.0
Bosnia and Herzegovina,463344450.4,462444257.0,478452532.2,433913250.5,839885024.9
Papua New Guinea,430791699.0,988517238.9,644503010.6,369827864.9,573455749.4
Maldives,411488803.0,264584944.9,740981503.7,604047411.4,487873374.4
Albania,358534676.9,633391094.4,471511072.6,410983732.0,596542360.9
Mauritania,354759160.8,269430624.6,392885556.4,326346881.2,565286971.0
North Macedonia,334564760.3,737629499.0,958613406.3,344514876.7,1129126091.0
Cambodia,310278923.8,359127029.7,394827768.0,467451879.5,651273445.7
Nicaragua,295389213.7,347166776.4,368977830.1,428351815.9,641743461.6
Uganda,280980636.0,320290187.1,618543035.8,691985201.0,1070625474.0
Nepal,245626826.2,258601860.4,276417176.0,309226778.0,412846775.7
Tajikistan,204148430.5,164550713.3,221198284.2,266832633.9,278024070.5
Mali,188327159.5,232557916.4,269857004.2,287913213.4,390269103.3
Mauritius,188314333.6,368092547.8,183083500.4,185071923.1,1088084845.0
Fiji,184010771.5,255513441.0,24018991.0,103513297.4,146905966.9
Suriname,182459237.9,100010739.6,90741296.5,86619679.5,297248947.6
Botswana,181087605.4,168999672.6,148864445.7,159079363.9,236610607.4
Sudan,178771527.8,141408700.6,1686702791.0,169993794.6,459249374.5
Kyrgyz Republic,177592885.1,180768886.4,157156880.7,243789630.3,309030079.9
Chad,132423411.6,185320677.1,318855018.1,219691162.2,405728990.8
Burkina Faso,129678753.5,135913486.8,142574575.7,183289676.1,345801265.8
Niger,128576605.4,172602700.0,192732260.3,253871220.7,326226869.1
Moldova,124255838.4,141432650.5,160684383.7,135621586.7,280078983.5
Algeria,115526920.5,99331152.4,122273016.6,125293915.4,97437186.3
"Iran, Islamic Rep.",108337533.4,99927658.7,94677008.4,59115039.5,45791128.2
Guinea,101824448.3,78443140.5,113250071.0,193311252.8,461413170.4
Madagascar,96963509.4,103968381.6,128774014.9,136085966.6,203183451.2
Belize,93681434.5,75420093.9,613222653.7,71635536.4,153335772.0
Rwanda,87219175.6,113329991.2,461272692.3,166227837.4,270777021.5
Togo,86527406.7,85841643.0,107750909.1,176854879.5,197620577.6
"Yemen, Rep.",84041000.0,86051000.0,91361000.0,87817000.0,552430957.3
Malawi,79013199.9,72609782.7,81663840.2,101365010.2,127059635.1
Guyana,77051511.2,76453687.6,79447781.9,83723686.7,120216464.0
Zimbabwe,69139939.0,42647902.1,109832244.2,32105899.2,163881086.4
Djibouti,63873217.9,53275162.0,48502525.4,51889533.1,285697271.0
Lesotho,61045574.3,59818360.7,296779521.8,282519791.4,86732602.8
Cabo Verde,60597648.0,59275736.0,54463109.7,97037870.9,147349142.2
Bhutan,54330012.6,46759383.5,116184819.0,115695986.3,227292830.2
Eswatini,53153312.6,59093219.7,63464655.3,53410798.1,76915933.2
Grenada,51216960.1,44299800.2,45731721.1,46256528.2,55421726.0
Sierra Leone,49999690.9,50801420.9,52123682.3,62167448.3,67064614.2
St. Lucia,45899546.1,42350370.1,43643789.3,48742894.1,41298217.7
"Gambia, The",37764758.5,30424408.7,33660441.5,31431145.6,102390362.5
St. Vincent and the Grenadines,36118104.9,31675274.1,29799253.4,35248101.8,46689556.5
Kosovo,34105761.1,37956634.5,44116469.0,48489695.5,82652401.5
Afghanistan,32780041.6,28700402.1,19234000.0,12017000.0,122856061.3
Samoa,26965836.0,21879316.0,13915745.6,33970860.4,33600321.2
Dominica,25060619.7,25634977.2,17017284.0,27488945.0,32198860.8
Eritrea,21023275.8,20217859.2,20565402.2,16585583.1,35861078.9
Burundi,20435074.4,14141375.9,18689600.3,25575491.9,43211263.0
Central African Republic,16737108.9,4121231.0,6727915.1,7155310.5,22941175.4
Guinea-Bissau,16566467.2,22999173.3,43847700.6,61507395.8,62204956.3
Liberia,12746471.3,24152765.9,19848496.8,31129523.8,59413538.0
Haiti,9570000.0,9744000.0,14906889.2,30224000.0,159128485.9
Vanuatu,8983649.6,14448157.3,16938867.7,20393142.3,22412166.2
Sao Tome and Principe,8204524.5,2457285.1,2573090.2,7032409.2,10153728.0
Timor-Leste,7060000.0,8053618.3,9598454.5,14494000.0,30135204.8
Solomon Islands,6224830.6,6303142.9,6497200.3,6082582.1,7165489.6
Tonga,5471507.4,5992778.6,4786307.0,10715458.9,21158616.7
Comoros,2167125.0,3323516.0,1589896.3,1664171.7,28462428.0
Syrian Arab Republic,661701.4,2351.5,0.0,0.0,104060430.8
Somalia,0.0,480864257.1,16637916.8,15374061.4,53222364.1
